spec_full$smooth_mean
192 Будівництво та цивільна інженерія$33.90421117929168
193 Геодезія та землеустрій$12.64059485248752
194 Гідротехнічне будівництво, водна інженерія та водні технології$7.3386457782102275
201 Агрономія$28.482179071909634
202 Захист і карантин рослин$11.32629509662784
203 Садівництво та виноградарство$6.719046216837736
204 Технологія виробництва і переробки продукції тваринництва$18.14076240178618
205 Лісове господарство$12.543461650256939
206 Садово-паркове господарство$8.825896605357737
207 Водні біоресурси та аквакультура$9.468349077742483
208 Агроінженерія$19.552740260873357
223 Медсестринство$21.489735284346594
224 Технології медичної діагностики та лікування$9.44602660459551
226 Фармація, промислова фармація$9.015273279021072
227 Фізична терапія, ерготерапія$9.5377926668768
229 Громадське здоров`я$8.951273745885054
231 Соціальна робота$8.267505606821963
232 Соціальне забезпечення$8.5246516530886
241 Готельно-ресторанна справа$5.718692964165578
242 Туризм$5.655446627787833
261 Пожежна безпека$15.262950966278412
263 Цивільна безпека$5.169404913650763
271 Річковий та морський транспорт$45.36832793482528
272 Авіаційний транспорт$75.80797969995078
273 Залізничний транспорт$15.729628706807741
274 Автомобільний транспорт$10.829808628618968
275 Транспортні технології на морському та річковому транспорті$42.02819682280813
275 Транспортні технології на залізничному транспорті$33.02204126929848
275 Транспортні технології на автомобільному транспорті$20.02683279348253
275 Транспортні технології на повітряному транспорті$50.06507422364313
281 Публічне управління та адміністрування$4.2642050919228565
291 Міжнародні відносини, суспільні комунікації та регіональні студії$14.929110391310038
292 Міжнародні економічні відносини$9.258540991853161
293 Міжнародне право$10.617899235120476
271 Річковий та морський транспорт Управління судновими технічними системами і комплексами$20.306050790591428
271 Річковий та морський транспорт Навігація і управління морськими суднами$27.124232608773244
271 Річковий та морський транспорт Експлуатація суднового електрообладнання і засобів автоматики$14.374062077389523
15 Професійна освіта Гірництво$16.894426449417615
15 Професійна освіта Товарознавство$14.9095083852151
15 Професійна освіта Метрологія, стандартизація та сертифікація$14.48093695664367
14 Середня освіта Англійська мова і література$12.73240440823627
16 Спеціальна освіта Логопедія$8.753330248471592
15 Професійна освіта Аграрне виробництво, переробка сільськогосподарської продукції та харчові технології$9.88332562117898
15 Професійна освіта Цифрові технології$10.694662347860229
14 Середня освіта Німецька мова і література$10.824437246433714
15 Професійна освіта Будівництво та зварювання$14.9095083852151
15 Професійна освіта Енергетика, електротехніка та електромеханіка$16.727759782750947
35 Філологія слов’янські мови та літератури (переклад включно), перша - словенська$13.670819837063211
35 Філологія романські мови та літератури (переклад включно), перша - румунська$16.561093116084283
35 Філологія східні мови та літератури (переклад включно), перша - іврит$10.936655869650568
72 Фінанси, банківська справа, страхування та фондовий ринок$14.208710894278475
76 Підприємництво та торгівля$10.699535537451467
91 Біологія та біохімія$20.86898973712804
125 Кібербезпека та захист інформації$30.942081983706323
145 Відновлювані джерела енергії та гідроенергетика$13.124232608773246
172 Електронні комунікації та радіотехніка$50.164325591166765
174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка$30.221514169968234
175 Інформаційно-вимірювальні технології$14.296187391328735
176 Мікро- та наносистемна техніка$14.243934486204806
203 Садівництво, плодоовочівництво та виноградарство$12.065074223643128
242 Туризм і рекреація$6.580156159440612
